Name,Link
A01 Broken Access Control,https://owasp.org/Top10/2021/A01_2021-Broken_Access_Control/
A02 Cryptographic Failures,https://owasp.org/Top10/2021/A02_2021-Cryptographic_Failures/
A03 Injection,https://owasp.org/Top10/2021/A03_2021-Injection/
A04 Insecure Design,https://owasp.org/Top10/2021/A04_2021-Insecure_Design/
A05 Security Misconfiguration,https://owasp.org/Top10/2021/A05_2021-Security_Misconfiguration/
A06 Vulnerable and Outdated Components,https://owasp.org/Top10/2021/A06_2021-Vulnerable_and_Outdated_Components/
A07 Identification and Authentication Failures,https://owasp.org/Top10/2021/A07_2021-Identification_and_Authentication_Failures/
A08 Software and Data Integrity Failures,https://owasp.org/Top10/2021/A08_2021-Software_and_Data_Integrity_Failures/
A09 Security Logging and Monitoring Failures,https://owasp.org/Top10/2021/A09_2021-Security_Logging_and_Monitoring_Failures/
A10 Server Side Request Forgery (SSRF),https://owasp.org/Top10/2021/A10_2021-Server-Side_Request_Forgery_%28SSRF%29/
